Intégré à JOTFORM,Désignation,Nom PMI,Adresse,Ville,DPT,DPT Long,ZIP,Partenaire,Statut,Téléphone,Horaires,Commentaire / accès à la PMI / infos pratiques ,Latitude,Longitude
TRUE,DFPE Paris,Direction Familles Petite Enfance Paris,"76 RUE DE REUILLY, 75012 PARIS",Paris,75,75 - Paris,75012,oui,Circonscription,,,,48.8435861,2.3907846
TRUE,PMI 134 Masséna / Paris,PMI 134 Masséna,"134 BOULEVARD MASSÉNA, 75013 PARIS",Paris,75,75 - Paris,75013,oui,PMI,,,,48.819945,2.3634536
TRUE,PMI Belleville / Paris,PMI Belleville,"162 RUE DE BELLEVILLE, 75020 PARIS",Paris,75,75 - Paris,75020,oui,PMI,,,,48.8753238,2.391592
TRUE,PMI Boinod / Paris,PMI Boinod,"23 RUE BOINOD, 75018 PARIS",Paris,75,75 - Paris,75018,oui,PMI,,,,48.8933866,2.3507812
TRUE,PMI Charonne / Paris,PMI Charonne,"29 RUE ROBERT ET SONIA DELAUNAY, 75011 PARIS",Paris,75,75 - Paris,75011,oui,PMI,,,,48.8552206,2.3944655
TRUE,PMI Croix Saint Simon / Paris,PMI Croix Saint Simon,"119 RUE D'AVRON, 75020 PARIS",Paris,75,75 - Paris,75020,oui,PMI,,9h-12h30 / 13h30-17h,,48.853136,2.4080943
TRUE,PMI Croix-Rouge Ney / Paris,PMI Croix-Rouge Ney,"145 BOULEVARD NEY, 75018 PARIS",Paris,75,75 - Paris,75018,oui,PMI,01.46.27.23.35,,,48.8974747,2.3304297
TRUE,PMI des Haies - Bosco / Paris,PMI des Haies - Bosco,"61 RUE DES HAIES, 75020 PARIS",Paris,75,75 - Paris,75020,oui,PMI,01.43.70.04.69,8h30-17h30,Accès difficile : zone piétonne sans possibilité de se garer. Il faut être 2 pour livrer. ,48.8543082,2.4028265
TRUE,PMI Gauthey / Paris,PMI Gauthey,"43 RUE GAUTHEY, 75017 PARIS",Paris,75,75 - Paris,75017,oui,PMI,,,,48.8931234,2.3215656
TRUE,PMI Godefroy Cavaignac / Paris,PMI Godefroy Cavaignac,"25 RUE GODEFROY CAVAIGNAC, 75011 PARIS",Paris,75,75 - Paris,75011,oui,PMI,,,,48.8554201,2.3809355
TRUE,PMI Goscinny / Paris,PMI Goscinny,"3 RUE RENÉ GOSCINNY, 75013 PARIS",Paris,75,75 - Paris,75013,oui,PMI,01.56.61.78.05,,,48.8309438,2.3808563
TRUE,PMI Goutte d'Or / Paris,PMI Goutte d'Or,"16 RUE CAVÉ, 75018 PARIS",Paris,75,75 - Paris,75018,oui,PMI,,,,48.8867979,2.3547268
TRUE,PMI Maternité Port-Royal / Paris,PMI Maternité Port-Royal,"123 BOULEVARD DE PORT-ROYAL, 75014 PARIS",Paris,75,75 - Paris,75014,oui,PMI,01.58.41.38.80,,"9h-17h Batiment PORT ROYAL, ascenseur B au rez de Jardin (RJ dans l’ascenseur)",48.8390915,2.3380946
TRUE,PMI Ménilmontant / Paris,PMI Ménilmontant,"115 BOULEVARD DE MÉNILMONTANT, 75011 PARIS",Paris,75,75 - Paris,75011,oui,PMI,,,,48.8657104,2.3839411
TRUE,PMI Ordener / Paris,PMI Ordener,"39 RUE ORDENER, 75018 PARIS",Paris,75,75 - Paris,75018,oui,PMI,,,,48.890819,2.3531114
TRUE,PMI Raspail / Paris,PMI Raspail,"85 BOULEVARD RASPAIL, 75006 PARIS",Paris,75,75 - Paris,75006,oui,PMI,,,,48.8478454,2.3281008
TRUE,PMI Thionville / Paris,PMI Thionville,"10 RUE DE THIONVILLE, 75019 PARIS",Paris,75,75 - Paris,75019,oui,PMI,,,,48.8885733,2.3819445
TRUE,PMI Vandrezanne / Paris,PMI Vandrezanne,"42 RUE VANDREZANNE, 75013 PARIS",Paris,75,75 - Paris,75013,oui,PMI,,,,48.8279446,2.3530411
TRUE,PMI Villette / Paris,PMI Villette,"73 BOULEVARD DE LA VILLETTE, 75010 PARIS",Paris,75,75 - Paris,75010,oui,PMI,01.44.84.70.22,8h30-12h30 / 13h30-17h30,,48.8766774,2.3714203
TRUE,PMI de Conflans-Sainte-Honorine,PMI Conflans-Sainte-Honorine,"1 RUE DE POLOGNE, 78700 CONFLANS-SAINTE-HONORINE",Conflans-Sainte-Honorine,78,78 - Yvelines,78700,oui,PMI,,,,49.0007481,2.1043806
TRUE,PMI Henri Dunant / Corbeil-Essonnes,Pmi Henri Dunant,"7 BOULEVARD HENRI DUNANT, 91100 CORBEIL-ESSONNES",Corbeil-Essonnes,91,91 - Essonne,91100,oui,PMI,,,,48.6054567,2.4827492
TRUE,PMI des Mourinoux / Asnières-sur-Seine,PMI des Mourinoux,"24 RUE DES MOURINOUX, 92600 ASNIÈRES-SUR-SEINE",Asnières-sur-Seine,92,92 - Hauts-de-Seine,92600,oui,PMI,,,,48.9299694,2.2749414
TRUE,PMI Orion / Châtillon ,PMI Orion / Châtillon,"39 RUE LOUVEAU PÔLE SOCIAL, BÂTIMENT ORION, 92320 CHÂTILLON",Châtillon,92,92 - Hauts-de-Seine,92320,oui,PMI,,,,48.803616317237264,2.2950556204666483
TRUE,Maternité Antoine Béclère / Clamart,Maternité Antoine Béclère,"157 RUE DE LA PORTE DE TRIVAUX, 92140 CLAMART",Clamart,92,92 - Hauts-de-Seine,92140,oui,Hôpital,,,,48.7898841,2.2537335
TRUE,PMI Pavé Blanc / Clamart,PMI Pavé Blanc,"22 ROUTE DU PAVÉ BLANC, 92140 CLAMART",Clamart,92,92 - Hauts-de-Seine,92140,oui,PMI,,,,48.7837011,2.2382736
TRUE,Centre de santé Chagall-Goüin / Clichy,Centre de santé Chagall-Goüin,"2 RUE GASTON PAYMAL, 92110 CLICHY",Clichy,92,92 - Hauts-de-Seine,92110,oui,Hôpital,01.47.15.97.98,,,48.902141,2.311422
TRUE,PMI Martre PSD / Clichy,PMI Martre PSD,"15 RUE MARTRE, 92110 CLICHY",Clichy,92,92 - Hauts-de-Seine,92110,oui,PMI,01.59.03.80.67,8h30-12h30 / 13h30-17h30,,48.8997258,2.3090967
TRUE,PMI Palloy / Clichy,PMI Palloy,"32 RUE PALLOY, 92110 CLICHY",Clichy,92,92 - Hauts-de-Seine,92110,oui,PMI,,,,48.903026,2.309325
TRUE,PMI Gros Grès / Colombes,PMI Gros Grès,"267 RUE DES GROS GRÈS, 92700 COLOMBES",Colombes,92,92 - Hauts-de-Seine,92700,oui,PMI,01.59.03.63.25,8h30-12h / 13h30-17h,,48.9123664,2.2277374
TRUE,PMI Jean-Jacques Rousseau / Colombes,PMI Jean-Jacques Rousseau,"24 RUE JEAN-JACQUES ROUSSEAU, 92700 COLOMBES",Colombes,92,92 - Hauts-de-Seine,92700,oui,PMI,,,,48.9319172,2.2618366
TRUE,PMI Paul Bert / Colombes,PMI Paul Bert,"5 RUE PAUL BERT, 92700 COLOMBES",Colombes,92,92 - Hauts-de-Seine,92700,oui,PMI,01.59.03.63.25,8h30-12h / 13h30-17h,,48.9306293,2.2449287
