libelle_ape;industrie
Production d'électricité;Hydrogène
Distribution d'électricité;Hydrogène
Commerce d'électricité;Hydrogène
Production et distribution de vapeur et d'air conditionné;Hydrogène
Production de combustibles gazeux;Hydrogène
Commerce de combustibles gazeux par conduites;Hydrogène

Raffinage du pétrole;Hydrogène
Élaboration et transformation de matières nucléaires;Hydrogène

Fabrication de produits azotés et d'engrais;Hydrogène
Fabrication d'autres produits chimiques organiques de base;Hydrogène
Fabrication d'autres produits chimiques inorganiques de base n.c.a.;Hydrogène
Fabrication de matières plastiques de base;Hydrogène
Fabrication de pesticides et d'autres produits agrochimiques;Hydrogène
Fabrication de gaz industriels;Hydrogène

Fabrication de produits pharmaceutiques de base;Cosmétique
Fabrication de préparations pharmaceutiques;Cosmétique
Fabrication de matériel médico-chirurgical et dentaire;Cosmétique
Activités hospitalières;Cosmétique
Recherche-développement en biotechnologie;Cosmétique

Fabrication de parfums et de produits pour la toilette;Cosmétique
Fabrication de savons, détergents et produits d'entretien;Cosmétique
Fabrication d'huiles essentielles;Cosmétique

Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Agroalimentaire
Culture de la canne à sucre;Agroalimentaire
Culture de légumes, de melons, de racines et de tubercules;Agroalimentaire
Culture et élevage associés;Agroalimentaire
Activités de soutien aux cultures;Agroalimentaire
Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis;Agroalimentaire

Élevage de vaches laitières;Agroalimentaire
Élevage de porcins;Agroalimentaire
Élevage de volailles;Agroalimentaire
Élevage d'autres bovins et de buffles;Agroalimentaire
Élevage d'autres animaux;Agroalimentaire
Commerce de gros (commerce interentreprises) d'animaux vivants;Agroalimentaire

Autre transformation et conservation de légumes;Agroalimentaire
Transformation et conservation de la viande de boucherie;Agroalimentaire
Transformation et conservation de la viande de volaille;Agroalimentaire
Préparation industrielle de produits à base de viande;Agroalimentaire
Transformation et conservation de poisson, de crustacés et de mollusques;Agroalimentaire
Transformation et conservation de fruits;Agroalimentaire
Transformation et conservation de pommes de terre;Agroalimentaire
Transformation du thé et du café;Agroalimentaire

Fabrication de lait liquide et de produits frais;Agroalimentaire
Fabrication d'autres produits laitiers;Agroalimentaire
Fabrication de beurre;Agroalimentaire
Fabrication de fromage;Agroalimentaire
Fabrication de sucre;Agroalimentaire
Fabrication de produits amylacés;Agroalimentaire
Fabrication de malt;Agroalimentaire
Fabrication de bière;Agroalimentaire
Fabrication de vins effervescents;Agroalimentaire
Vinification;Agroalimentaire
Fabrication de cidre et de vins de fruits;Agroalimentaire
Production de boissons alcooliques distillées;Agroalimentaire
Production de boissons rafraîchissantes;Agroalimentaire
Industrie des eaux de table;Agroalimentaire

Fabrication de cacao, chocolat et de produits de confiserie;Agroalimentaire
Fabrication de biscuits, biscottes et pâtisseries de conservation;Agroalimentaire
Fabrication industrielle de pain et de pâtisserie fraîche;Agroalimentaire
Fabrication de pâtes alimentaires;Agroalimentaire
Fabrication de plats préparés;Agroalimentaire
Fabrication d'autres produits alimentaires n.c.a.;Agroalimentaire
Fabrication de condiments et assaisonnements;Agroalimentaire
Fabrication de produits à base de tabac;Agroalimentaire

Fabrication d'aliments pour animaux de ferme;Agroalimentaire
Fabrication d'aliments pour animaux de compagnie;Agroalimentaire
Fabrication d'aliments homogénéisés et diététiques;Agroalimentaire

Commerce de gros (commerce interentreprises) alimentaire non spécialisé;Agroalimentaire
Commerce de gros (commerce interentreprises) alimentaire spécialisé divers;Agroalimentaire
Commerce de gros (commerce interentreprises) de fruits et légumes;Agroalimentaire
Commerce de gros (commerce interentreprises) de produits à base de viande;Agroalimentaire
Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles;Agroalimentaire

Captage, traitement et distribution d'eau;Autres
Collecte et traitement des eaux usées;Autres

Traitement et élimination des déchets non dangereux;Industrie lourde
Traitement et élimination des déchets dangereux;Industrie lourde
Récupération de déchets triés;Industrie lourde
Collecte des déchets dangereux;Industrie lourde
Collecte des déchets non dangereux;Industrie lourde

Sidérurgie;Industrie lourde
Métallurgie de l'aluminium;Industrie lourde
Métallurgie du plomb, du zinc ou de l'étain;Industrie lourde
Métallurgie des autres métaux non ferreux;Industrie lourde
Fonderie d'acier;Industrie lourde
Fonderie de fonte;Industrie lourde
Fonderie de métaux légers;Industrie lourde
Laminage à froid de feuillards;Industrie lourde
Tréfilage à froid;Industrie lourde
Profilage à froid par formage ou pliage;Industrie lourde
Forge, estampage, matriçage ,  métallurgie des poudres;Industrie lourde

Fabrication de verre plat;Industrie lourde
Façonnage et transformation du verre plat;Industrie lourde
Fabrication de verre creux;Industrie lourde
Fabrication de fibres de verre;Industrie lourde
Fabrication et façonnage d'autres articles en verre, y compris verre technique;Industrie lourde

Fabrication de ciment;Industrie lourde
Fabrication de chaux et plâtre;Industrie lourde
Fabrication de briques, tuiles et produits de construction, en terre cuite;Industrie lourde
Fabrication de produits réfractaires;Industrie lourde
Fabrication d'autres produits minéraux non métalliques n.c.a.;Industrie lourde
Fabrication d'éléments en matières plastiques pour la construction;Industrie lourde
Fabrication d'éléments en plâtre pour la construction;Industrie lourde
Fabrication de béton prêt à l'emploi;Industrie lourde

Exploitation de gravières et sablières, extraction d'argiles et de kaolin;Industrie lourde
Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise;Industrie lourde
Extraction de tourbe;Industrie lourde
Production de sel;Industrie lourde

Fabrication de produits explosifs;Industrie lourde
Fabrication de produits abrasifs;Industrie lourde

Fabrication de papier et de carton;Industrie lourde
Fabrication d'articles en papier à usage sanitaire ou domestique;Industrie lourde
Fabrication de carton ondulé;Industrie lourde
Fabrication de cartonnages;Industrie lourde
Fabrication d'autres articles en papier ou en carton;Industrie lourde
Fabrication d'articles de papeterie;Industrie lourde
Fabrication de pâte à papier;Industrie lourde
Fabrication de placage et de panneaux de bois;Industrie lourde

Construction de navires et de structures flottantes;Industrie lourde
Construction de véhicules automobiles;Industrie lourde
Construction de locomotives et d'autre matériel ferroviaire roulant;Industrie lourde
Construction aéronautique et spatiale;Industrie lourde
Construction de réseaux pour fluides;Industrie lourde
Construction de routes et autoroutes;Industrie lourde

Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules;Industrie lourde
Fabrication de moteurs, génératrices et transformateurs électriques;Industrie lourde
Fabrication d'autres matériels électriques;Industrie lourde
Fabrication de matériel de distribution et de commande électrique;Industrie lourde
Fabrication de matériel d'installation électrique;Industrie lourde
Fabrication d'autres fils et câbles électroniques ou électriques;Industrie lourde
Fabrication de cartes électroniques assemblées;Industrie lourde
Fabrication de composants électroniques;Industrie lourde
Fabrication d'équipements électriques et électroniques automobiles;Industrie lourde

Fabrication de machines agricoles et forestières;Industrie lourde
Fabrication de machines pour l'extraction ou la construction;Industrie lourde
Fabrication d'autres machines d'usage général;Industrie lourde
Fabrication d'autres machines spécialisées;Industrie lourde
Fabrication d'équipements hydrauliques et pneumatiques;Industrie lourde
Fabrication d'équipements aérauliques et frigorifiques industriels;Industrie lourde
Fabrication d'équipements d'aide à la navigation;Industrie lourde

Fabrication de structures métalliques et de parties de structures;Industrie lourde
Fabrication de réservoirs, citernes et conteneurs métalliques;Industrie lourde
Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier;Industrie lourde
Fabrication de serrures et de ferrures;Industrie lourde
Fabrication de vis et de boulons;Industrie lourde
Fabrication d'engrenages et d'organes mécaniques de transmission;Industrie lourde
Fabrication d'autres articles métalliques;Industrie lourde
Fabrication d'articles en fils métalliques, de chaînes et de ressorts;Industrie lourde
Fabrication d'emballages métalliques légers;Industrie lourde
Fabrication d'isolateurs et pièces isolantes en céramique;Industrie lourde
Fabrication d'ouvrages en fibre-ciment;Industrie lourde

Fabrication de caoutchouc synthétique;Industrie lourde
Fabrication d'autres articles en caoutchouc;Industrie lourde
Fabrication et rechapage de pneumatiques;Industrie lourde

Fabrication de matières plastiques de base;Hydrogène
