identifiant,nom_etablissement,numero_siret,adresse,code_postal,commune,departement,region,coordonnees_x,coordonnees_y,code_epsg,code_ape,libelle_ape,libelle_eprtr,prelevements_eaux_souterraines,prelevements_eaux_surface,prelevements_reseau_distribution,somme_prelevements_(m3),Somme_de_rejet_raccorde_m3_par_an,Somme_de_rejet_isole_m3_par_an,Somme_des_rejets_(m3)
5503788,ENVIE TRANSPORT BRETAGNE,50269429200017,18 RUE DE LA DONELIERE,35000,RENNES,ILLE-ET-VILAINE,BRETAGNE,-1.687060,48.131130,4326,8899B,Action sociale sans hébergement n.c.a.,,,,,,,,
9000285,OPALE DEFENSE,53107587700013,60 Boulevard Gnral Martial Valin,75015,PARIS-15E-ARRONDISSEMENT,PARIS,ILE-DE-FRANCE,2.275530,48.836530,4326,8110Z,Activités combinées de soutien lié aux bâtiments,,  778 269 ,,,  778 269 ,,  778 269 ,  778 269 
6514495,BANQUE DE FRANCE,57210489103652,5 BOULEVARD MICHAEL FARADAY,77700,SERRIS,SEINE-ET-MARNE,ILE-DE-FRANCE,2.786880,48.845700,4326,6411Z,Activités de banque centrale,,,,,,  18 976 ,,  18 976 
5200263,COMPAGNIE BORDELAISE DES GAZ LIQUEFIES,45620101100016,LIEU-DIT LACAUSSADE LIEU-DIT LACAUSSADE,33810,AMBES,GIRONDE,NOUVELLE-AQUITAINE,-0.515890,44.999800,2154,8292Z,Activités de conditionnement,,,,,,,  20 000 ,  20 000 
6402472,CREALIS,64204389700031,TRAVERSE DE LA MONJARDE,13016,MARSEILLE 16E ARRONDISSEMENT,BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE D'AZUR,5.328380,43.361170,2154,8292Z,Activités de conditionnement,,,,,,  12 978 ,,  12 978 
6506481,CREALIS,64204389700049,26 RUE DES COULONS,94360,BRY-SUR-MARNE,VAL-DE-MARNE,ILE-DE-FRANCE,2.525310,48.837810,2154,8292Z,Activités de conditionnement,,,,,,  12 978 ,,  12 978 
10000119,COMPAGNIE DES LABORATOIRES INDUSTRIELS DU PERCHE,32726797700020,RUE DU PERCHE BP 37,28480,THIRON_GARDAIS,EURE-ET-LOIR,CENTRE,0.988740,48.309100,2154,8292Z,Activités de conditionnement,,,,,,,  4 496 ,  4 496 
7201789,QUADRIPACK,41473465700029,AVENUE GROTTES DE PASSE LOURDAIN Avenue GROTTES DE PASSE LOURDAIN,86280,SAINT-BENOIT,VIENNE,NOUVELLE-AQUITAINE,0.331960,46.540460,2154,8292Z,Activités de conditionnement,tensioactifs et agents de surface,,,,,  3 965 ,,  3 965 
6508390,FM FRANCE,36780140400214,ZAC DE FREGY,77610,FONTENAY-TRESIGNY,SEINE-ET-MARNE,ILE-DE-FRANCE,2.883330,48.700540,2154,8292Z,Activités de conditionnement,,,,,,,  881 ,  881 
6110065,SOC INDUSTRIEL CONDITIONNEMENT OPTIMISE,69732053900052,400 ALLE DES COMBES LES COMBES SOUS LE BOIS,1150,BLYES,AIN,AUVERGNE-RHONE-ALPES,5.259730,45.838530,2154,8292Z,Activités de conditionnement,,,,,,  81 ,,  81 
22100002,SOCIETE INDUSTRIELLE DE GAZ ET DE LUBRIFIANT,34495993700014,BOULEVARD DE LA POINTE JARRY ZI JARRY,97122,Baie-Mahault,GUADELOUPE,GUADELOUPE,-61.555240,16.236730,4559,8292Z,Activités de conditionnement,,,,,,,  4 ,  4 
10004115,SAS PARMENTINE PRODUCTION,33348527400034,ROUTE DE LHOPITEAU ZONE INDUSTRIELLE,28150,VOVES,EURE-ET-LOIR,CENTRE,1.614820,48.273030,2154,8292Z,Activités de conditionnement,,  13 929 ,,,  13 929 ,,,
3800654,AMIVAL,75293145100013,690 RUE Marc Jodot,59220,ROUVIGNIES,NORD,HAUTS-DE-FRANCE,3.440000,50.332520,2154,8292Z,Activités de conditionnement,,,,,,,,
3801128,HOUTCH ENERGIE SERVICE LOGISTIQUE,35244665200021,130  Rue du terroir,2200,PLOISY,AISNE,HAUTS-DE-FRANCE,3.274030,49.336590,2154,8292Z,Activités de conditionnement,,,,,,,,
5104394,CONDI PLUS,35241369400055,4 RUE DES PASTELS,2430,GAUCHY,AISNE,HAUTS-DE-FRANCE,3.271230,49.822790,2154,8292Z,Activités de conditionnement,,,,,,,,
5503785,CALORIE FLUOR,49226758800027,16  TOUCHEMORIN,35420,LA BAZOUGE-DU-DESERT,ILLE-ET-VILAINE,BRETAGNE,-1.140950,48.459640,2154,8292Z,Activités de conditionnement,,,,,,,,
5800942,SOFRASTOCK INTERNATIONAL,77561848100086,Rue des Arodromes,27220,SAINT-ANDRE-DE-L'EURE,EURE,NORMANDIE,1.249800,48.887790,27572,8292Z,Activités de conditionnement,,,,,,,,
5802016,CONDIVEX CONDITIONNEMENT DU VEXIN,31234727100032,ROUTE DE LA PORTE ROUGE,27150,ETREPAGNY,EURE,NORMANDIE,1.621140,49.301160,2154,8292Z,Activités de conditionnement,,,,,,,,
6103974,RHONE-GAZ,96950723500022,RUE DE SIBELLIN SOLAIZE,69360,SOLAIZE,RHONE,AUVERGNE-RHONE-ALPES,4.845710,45.658150,2154,8292Z,Activités de conditionnement,,,,,,,,
6400627,STOGAZ,68545040500038,Quartier du BEAUSSET Plaines Talan -,13700,MARIGNANE,BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE-D'AZUR,5.195150,43.398880,2154,8292Z,Activités de conditionnement,,,,,,,,
6401024,COGEX SUD,35328289000022,ROUTE D'ARLES LA PLAINE RONDE,13270,FOS-SUR-MER,BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE-D'AZUR,4.927070,43.456500,2154,8292Z,Activités de conditionnement,,,,,,,,
6502856,LALIQUE BEAUTY SERVICES,48381710200013,Chemin du mont  grillons,77760,URY,SEINE-ET-MARNE,ILE-DE-FRANCE,2.588250,48.342110,4326,8292Z,Activités de conditionnement,,,,,,,,
6512926,CALORIE FLUOR,49226758800043,402 RUE CLEMENT ADER ZONE DU PRE CLOS,78530,BUC,YVELINES,ILE-DE-FRANCE,2.119030,48.760220,2154,8292Z,Activités de conditionnement,Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour,,,,,,,
6700415,RHONE-GAZ,96950723500048,ROUTE DE DRUSENHEIM CENTRE EMPLISSEUR,67850,HERRLISHEIM,BAS-RHIN,GRAND-EST,7.909740,48.732340,2154,8292Z,Activités de conditionnement,,,,,,,,
7001192,LOGIBEX,84286613900020,1 RUE DE LA PLAINE,59115,LEERS,NORD,HAUTS-DE-FRANCE,3.231430,50.676000,2154,8292Z,Activités de conditionnement,,,,,,,,
5602301,G'IMPRIM,40114823400040,ZI LES TAILLAS ALLEE LOUIS PASTEUR,43600,SAINTE-SIGOLENE,HAUTE-LOIRE,AUVERGNE-RHONE-ALPES,4.251810,45.252110,2154,1813Z,Activités de pré-presse,"Installations destinées au traitement de surface de matières, d'objets ou de produits à  l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an",,,,,,,
6207365,MOSELLE PHOTOGRAVURE SAS,48207162800010,ZA DE LA BIEVRE,57400,SARREBOURG,MOSELLE,GRAND-EST,7.047160,48.738450,2154,1813Z,Activités de pré-presse,,,,,,,,
6300884,MARTIN-TECHNOLOGIES,66708018800036,22 RUE HENRI GANDON,49430,LEZIGNE,MAINE-ET-LOIRE,PAYS-DE-LA-LOIRE,-0.299650,47.635460,2154,1813Z,Activités de pré-presse,,,,,,,,
6600530,GRAVURE D'AZUR,38068646900020,66 IMPASSE DES MUGES ZI DE DOMAZAN,30390,DOMAZAN,GARD,OCCITANIE,4.661260,43.954770,2154,1813Z,Activités de pré-presse,,,,,,,,
7000435,NORD HELIOSERVICE,36820065500018,ROUTE NATIONALE FOSSE 7 DE VERMELLES,62670,MAZINGARBE,PAS-DE-CALAIS,HAUTS-DE-FRANCE,2.724380,50.468630,2154,1813Z,Activités de pré-presse,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,,,
7201193,JANOSCHKA ANGOULEME,63182013100029,LES SAVIS,16160,LE GOND-PONTOUVRE,CHARENTE,NOUVELLE-AQUITAINE,0.175190,45.687440,2154,1813Z,Activités de pré-presse,,,,,,,,
6002150,ORANO MINING,50149360500049,2 ROUTE DE LAVAUGRASSE Aprs-Mines France,87250,BESSINES-SUR-GARTEMPE,HAUTE-VIENNE,NOUVELLE-AQUITAINE,1.368420,46.119990,2154,0990Z,Activités de soutien aux autres industries extractives,Extraction souterraine et opérations connexes,,,,,,  1 692 767 ,  1 692 767 
6002154,ORANO MINING,50149360500049,2 ROUTE DE LAVAUGRASSE Aprs-Mines France - Stockage de Bellezane - Lieu-dit : Bellezane,87250,BESSINES-SUR-GARTEMPE,HAUTE-VIENNE,NOUVELLE-AQUITAINE,1.375560,46.134840,2154,0990Z,Activités de soutien aux autres industries extractives,Extraction souterraine et opérations connexes,,,,,,  1 692 767 ,  1 692 767 
6002178,ORANO MINING,50149360500049,LES CLOS Stockages des Fouilloux/Cros-Gallet,87500,LE CHALARD,HAUTE-VIENNE,NOUVELLE-AQUITAINE,1.137080,45.553240,2154,0990Z,Activités de soutien aux autres industries extractives,Extraction souterraine et opérations connexes,,,,,,  1 692 767 ,  1 692 767 
6802481,ORANO MINING,50149360500049,Rue de la Mine,12310,BERTHOLENE,AVEYRON,OCCITANIE,2.774880,44.392260,2154,0990Z,Activités de soutien aux autres industries extractives,Extraction souterraine et opérations connexes,,,,,,  1 692 767 ,  1 692 767 
