identifiant,nom_etablissement,numero_siret,adresse,code_postal,commune,departement,region,coordonnees_x,coordonnees_y,code_epsg,code_ape,libelle_ape,libelle_eprtr,prelevements_eaux_souterraines,prelevements_eaux_surface,prelevements_reseau_distribution,somme_prelevements_(m3),Somme_de_rejet_raccorde_m3_par_an,Somme_de_rejet_isole_m3_par_an,Somme_des_rejets_(m3)
9000285,OPALE DEFENSE,53107587700013,60 Boulevard Gnral Martial Valin,75015,PARIS-15E-ARRONDISSEMENT,PARIS,ILE-DE-FRANCE,2.275530,48.836530,4326,8110Z,Activités combinées de soutien lié aux bâtiments,,  778 269 ,,,  778 269 ,,  778 269 ,  778 269 
10004115,SAS PARMENTINE PRODUCTION,33348527400034,ROUTE DE LHOPITEAU ZONE INDUSTRIELLE,28150,VOVES,EURE-ET-LOIR,CENTRE,1.614820,48.273030,2154,8292Z,Activités de conditionnement,,  13 929 ,,,  13 929 ,,,
52203437,SOCIETE AUREGAN-MEGRET,38761503200027,11 RUE DE LA RESIDENCE LANGOUHEDRE LANGOUHEDRE,22640,PLENEE-JUGON,COTES-D'ARMOR,BRETAGNE,-2.373270,48.376420,2154,0161Z,Activités de soutien aux cultures,disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg),,14 929,635,15 564,,,
7000056,CARRIERES DU BASSIN DE LA SAMBRE,31641770800039,Chemin des Paquiers,59330,LIMONT-FONTAINE,NORD,HAUTS-DE-FRANCE,3.917140,50.218230,2154,7010Z,Activités des sièges sociaux,Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,  10 490 000 ,,,  10 490 000 ,,  10 490 000 ,  10 490 000 
6400988,LYONDELLBASELL SERVICES FRANCE SAS,50153703900023,CHEMIN DEPARTEMENTAL QRT OUEST RAFFINERIE DE BERRE  CD  54,13130,BERRE-L'ETANG,BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE-D'AZUR,5.165100,43.472210,2154,7010Z,Activités des sièges sociaux,,,,  140 374 ,  140 374 ,  5 164 226 ,  5 139 958 ,  10 304 184 
6410871,LYONDELLBASELL SERVICES FRANCE SAS,50153703900023,CHEMIN DEPARTEMENTAL QRT OUEST RAFFINERIE DE BERRE  CD  54,13130,BERRE-L'ETANG,BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE-D'AZUR,5.162060,43.502950,27572,7010Z,Activités des sièges sociaux,Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW,,  118 464 ,  644 003 ,  762 467 ,  5 164 226 ,  5 139 958 ,  10 304 184 
20800008,BETON ET AGREGATS,42228223600047,LIEU-DIT PURETTA,20290,LUCCIANA,HAUTE-CORSE,CORSE,9.498180,42.552310,,7010Z,Activités des sièges sociaux,,  58 490 ,,  74 408 ,  132 898 ,,  412 906 ,  412 906 
5521186,SILL DAIRY INTERNATIONAL,48768161100025,25B  rue Rue Auguste Bartholdi,29400,LANDIVISIAU,FINISTERE,BRETAGNE,-4.077990,48.520820,2154,7010Z,Activités des sièges sociaux,Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle),,,134 162,134 162,  178 313 ,,  178 313 
5101291,LAFARGE GRANULATS,56211088200015,cd155 lieu dit les taillis,60126,LONGUEIL-SAINTE-MARIE,OISE,HAUTS-DE-FRANCE,2.670760,49.333090,2154,7010Z,Activités des sièges sociaux,Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,  22 714 ,,,  22 714 ,,  148 470 ,  148 470 
5803965,LAFARGE GRANULATS,56211088200015,"Le Fort, Igoville/Alizay",27460,ALIZAY,EURE,NORMANDIE,1.162300,49.312020,4326,7010Z,Activités des sièges sociaux,Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,,272 520,,272 520,,  148 470 ,  148 470 
