identifiant,nom_etablissement,numero_siret,adresse,code_postal,commune,departement,region,coordonnees_x,coordonnees_y,code_epsg,code_ape,libelle_ape,libelle_eprtr,prelevements_eaux_souterraines,prelevements_eaux_surface,prelevements_reseau_distribution,somme_prelevements_(m3),Somme_de_rejet_raccorde_m3_par_an,Somme_de_rejet_isole_m3_par_an,Somme_des_rejets_(m3)
9000285,OPALE DEFENSE,53107587700013,60 Boulevard Gnral Martial Valin,75015,PARIS-15E-ARRONDISSEMENT,PARIS,ILE-DE-FRANCE,2.275530,48.836530,4326,8110Z,Activités combinées de soutien lié aux bâtiments,,  778 269 ,,,  778 269 ,,  778 269 ,  778 269 
6514495,BANQUE DE FRANCE,57210489103652,5 BOULEVARD MICHAEL FARADAY,77700,SERRIS,SEINE-ET-MARNE,ILE-DE-FRANCE,2.786880,48.845700,4326,6411Z,Activités de banque centrale,,,,,,  18 976 ,,  18 976 
5200263,COMPAGNIE BORDELAISE DES GAZ LIQUEFIES,45620101100016,LIEU-DIT LACAUSSADE LIEU-DIT LACAUSSADE,33810,AMBES,GIRONDE,NOUVELLE-AQUITAINE,-0.515890,44.999800,2154,8292Z,Activités de conditionnement,,,,,,,  20 000 ,  20 000 
6402472,CREALIS,64204389700031,TRAVERSE DE LA MONJARDE,13016,MARSEILLE 16E ARRONDISSEMENT,BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE D'AZUR,5.328380,43.361170,2154,8292Z,Activités de conditionnement,,,,,,  12 978 ,,  12 978 
6506481,CREALIS,64204389700049,26 RUE DES COULONS,94360,BRY-SUR-MARNE,VAL-DE-MARNE,ILE-DE-FRANCE,2.525310,48.837810,2154,8292Z,Activités de conditionnement,,,,,,  12 978 ,,  12 978 
10000119,COMPAGNIE DES LABORATOIRES INDUSTRIELS DU PERCHE,32726797700020,RUE DU PERCHE BP 37,28480,THIRON_GARDAIS,EURE-ET-LOIR,CENTRE,0.988740,48.309100,2154,8292Z,Activités de conditionnement,,,,,,,  4 496 ,  4 496 
7201789,QUADRIPACK,41473465700029,AVENUE GROTTES DE PASSE LOURDAIN Avenue GROTTES DE PASSE LOURDAIN,86280,SAINT-BENOIT,VIENNE,NOUVELLE-AQUITAINE,0.331960,46.540460,2154,8292Z,Activités de conditionnement,tensioactifs et agents de surface,,,,,  3 965 ,,  3 965 
6508390,FM FRANCE,36780140400214,ZAC DE FREGY,77610,FONTENAY-TRESIGNY,SEINE-ET-MARNE,ILE-DE-FRANCE,2.883330,48.700540,2154,8292Z,Activités de conditionnement,,,,,,,  881 ,  881 
6110065,SOC INDUSTRIEL CONDITIONNEMENT OPTIMISE,69732053900052,400 ALLE DES COMBES LES COMBES SOUS LE BOIS,1150,BLYES,AIN,AUVERGNE-RHONE-ALPES,5.259730,45.838530,2154,8292Z,Activités de conditionnement,,,,,,  81 ,,  81 
22100002,SOCIETE INDUSTRIELLE DE GAZ ET DE LUBRIFIANT,34495993700014,BOULEVARD DE LA POINTE JARRY ZI JARRY,97122,Baie-Mahault,GUADELOUPE,GUADELOUPE,-61.555240,16.236730,4559,8292Z,Activités de conditionnement,,,,,,,  4 ,  4 
6002150,ORANO MINING,50149360500049,2 ROUTE DE LAVAUGRASSE Aprs-Mines France,87250,BESSINES-SUR-GARTEMPE,HAUTE-VIENNE,NOUVELLE-AQUITAINE,1.368420,46.119990,2154,0990Z,Activités de soutien aux autres industries extractives,Extraction souterraine et opérations connexes,,,,,,  1 692 767 ,  1 692 767 
6002154,ORANO MINING,50149360500049,2 ROUTE DE LAVAUGRASSE Aprs-Mines France - Stockage de Bellezane - Lieu-dit : Bellezane,87250,BESSINES-SUR-GARTEMPE,HAUTE-VIENNE,NOUVELLE-AQUITAINE,1.375560,46.134840,2154,0990Z,Activités de soutien aux autres industries extractives,Extraction souterraine et opérations connexes,,,,,,  1 692 767 ,  1 692 767 
6002178,ORANO MINING,50149360500049,LES CLOS Stockages des Fouilloux/Cros-Gallet,87500,LE CHALARD,HAUTE-VIENNE,NOUVELLE-AQUITAINE,1.137080,45.553240,2154,0990Z,Activités de soutien aux autres industries extractives,Extraction souterraine et opérations connexes,,,,,,  1 692 767 ,  1 692 767 
6802481,ORANO MINING,50149360500049,Rue de la Mine,12310,BERTHOLENE,AVEYRON,OCCITANIE,2.774880,44.392260,2154,0990Z,Activités de soutien aux autres industries extractives,Extraction souterraine et opérations connexes,,,,,,  1 692 767 ,  1 692 767 
6702132,CAVE COOPERATIVE VINICOLE,78935925400016,16 RUE DES TUILERIES,68230,TURCKHEIM,HAUT-RHIN,GRAND-EST,7.267560,48.086110,4326,0161Z,Activités de soutien aux cultures,,,,,,  7 850 ,,  7 850 
6400380,COOPERATIVE AGRICOLE PROVENCE LANGUEDOC,77571385200017,158  Chemin de Brantes,84700,SORGUES,VAUCLUSE,PROVENCE-ALPES-COTE-D'AZUR,4.876020,44.001610,2154,0161Z,Activités de soutien aux cultures,,,,,,,  1 996 ,  1 996 
6500510,EURO DISNEY ASSOCIES SAS,39747182200114,"Btiment Merlin, BP 100",77700,SERRIS,SEINE-ET-MARNE,ILE-DE-FRANCE,2.769570,48.877980,2154,9321Z,Activités des parcs d'attractions et parcs à  thèmes,,,,,,  628 595 ,,  628 595 
